id,genero,roles_nucleo,cantidad_estudios,orientacion_software,anios_estudio,rol_ocupacional,grupo_ocupacional,anios_laborales,periodos_desempleo,tiempo_desempleo,cantidad_puestos_total,cantidad_empresas_total,movilidad,reporta_ingles,rango_habilidades,rango_herramientas,caracteres_descripcion
368,0,0,4,0,15.7,Administración,Decisión y apoyo,16.4,2,> 1 año,6,5,0.4,0,10 a 14,1 a 4,316
369,0,0,2,0,8.8,Administración,Decisión y apoyo,17.3,0,0,6,4,0.3,1,20 a 24,0,516
370,0,0,3,0,8.2,Administración,Decisión y apoyo,5.5,0,0,8,8,1.5,0,20 a 24,0,486
371,0,0,2,0,1.9,Administración,Decisión y apoyo,13.9,2,7 a 12,4,4,0.3,0,5 a 9,1 a 4,0
372,0,0,5,0,7.8,Administración,Decisión y apoyo,10.6,2,> 1 año,5,4,0.5,1,15 a 19,1 a 4,0
373,0,0,2,0,7.8,Administración,Decisión y apoyo,13.1,2,4 a 6,6,6,0.5,1,15 a 19,1 a 4,475
374,0,0,5,0,6,Administración,Decisión y apoyo,13.3,0,0,5,4,0.4,1,20 a 24,1 a 4,871
375,1,0,1,0,5.9,Administración,Decisión y apoyo,10.8,1,4 a 6,6,2,0.6,0,15 a 19,1 a 4,900
376,1,0,3,1,14.8,Administración,Decisión y apoyo,34.7,1,1 a 3,3,3,0.1,0,20 a 24,5 a 9,0
377,0,0,1,0,7.9,Administración,Decisión y apoyo,7.5,0,0,5,5,0.7,0,15 a 19,1 a 4,363
378,0,0,0,0,0,Administración,Decisión y apoyo,22.1,0,0,8,3,0.4,1,20 a 24,1 a 4,0
379,0,0,1,0,0,Administración,Decisión y apoyo,15.4,0,0,3,2,0.2,1,5 a 9,0,724
380,0,0,2,0,7.8,Administración,Decisión y apoyo,16.7,0,0,5,5,0.3,1,20 a 24,1 a 4,0
381,1,0,8,0,19.4,Administración,Decisión y apoyo,26.5,3,> 1 año,7,7,0.3,1,15 a 19,5 a 9,0
382,0,0,2,0,8.4,Administración,Decisión y apoyo,3.8,1,> 1 año,3,2,0.8,0,20 a 24,1 a 4,0
383,1,0,1,0,4.9,Administración,Decisión y apoyo,32.1,2,> 1 año,4,4,0.1,0,5 a 9,1 a 4,0
384,0,0,2,0,0,Administración,Decisión y apoyo,25.9,2,1 a 3,9,9,0.3,1,20 a 24,1 a 4,357
385,1,0,2,1,7.8,Administración,Decisión y apoyo,27.8,0,0,6,5,0.2,0,20 a 24,5 a 9,0
386,0,0,0,0,0,Administración,Decisión y apoyo,26.3,3,> 1 año,4,4,0.2,0,20 a 24,1 a 4,0
387,0,0,7,0,38,Administración,Decisión y apoyo,14.3,2,> 1 año,8,5,0.6,1,20 a 24,1 a 4,880
388,0,0,3,0,1.8,Administración,Decisión y apoyo,19.5,1,4 a 6,6,6,0.3,1,20 a 24,1 a 4,0
389,0,0,1,0,7.5,Administración,Decisión y apoyo,15.8,3,> 1 año,4,4,0.3,1,20 a 24,1 a 4,229
390,1,0,0,0,0,Administración,Decisión y apoyo,6.3,0,0,2,2,0.3,0,5 a 9,0,0
391,0,0,0,0,0,Administración,Decisión y apoyo,31.7,0,0,5,3,0.2,0,20 a 24,1 a 4,0
392,0,0,5,0,13.9,Administración,Decisión y apoyo,7,3,> 1 año,7,6,1,1,20 a 24,1 a 4,0
393,1,0,1,0,1.9,Administración,Decisión y apoyo,22.7,2,> 1 año,9,7,0.4,1,20 a 24,0,1614
394,0,0,15,0,19,Administración,Decisión y apoyo,24.1,0,0,12,7,0.5,0,20 a 24,1 a 4,116
395,1,0,5,0,23.8,Administración,Decisión y apoyo,0,0,0,3,1,,1,20 a 24,1 a 4,0
396,1,0,3,0,11.8,Administración,Decisión y apoyo,18.7,1,1 a 3,12,10,0.6,0,20 a 24,1 a 4,0
397,1,0,2,1,4.8,Administración,Decisión y apoyo,22,1,4 a 6,7,5,0.3,1,20 a 24,1 a 4,1221
398,0,0,3,0,9.8,Administración,Decisión y apoyo,5.6,0,0,6,6,1.1,0,5 a 9,1 a 4,0
399,0,0,1,0,5.9,Administración,Decisión y apoyo,7,1,1 a 3,5,5,0.7,0,20 a 24,1 a 4,0
400,1,0,1,0,9.9,Administración,Decisión y apoyo,21.7,1,4 a 6,8,4,0.4,0,20 a 24,1 a 4,589
401,1,0,3,0,17.8,Administración,Decisión y apoyo,11.8,0,0,8,2,0.7,1,20 a 24,1 a 4,673
402,1,0,0,0,0,Administración,Decisión y apoyo,9,0,0,5,3,0.6,0,20 a 24,5 a 9,0
403,0,0,3,0,3.7,Administración,Decisión y apoyo,10.6,2,> 1 año,10,8,0.9,1,20 a 24,1 a 4,526
404,0,0,2,0,7.8,Administración,Decisión y apoyo,3.9,0,0,5,3,1.3,0,5 a 9,1 a 4,571
405,1,0,0,0,0,Administración,Decisión y apoyo,6.4,1,> 1 año,5,5,0.8,0,5 a 9,0,0
