id,genero,roles_nucleo,cantidad_estudios,orientacion_software,anios_estudio,rol_ocupacional,grupo_ocupacional,anios_laborales,periodos_desempleo,tiempo_desempleo,cantidad_puestos_total,cantidad_empresas_total,movilidad,reporta_ingles,rango_habilidades,rango_herramientas,caracteres_descripcion
782,0,1,1,0,4.9,Análisis,Funcionales,9.2,0,0,6,3,0.7,0,1 a 4,0,0
783,1,1,3,1,11.1,Análisis,Funcionales,8.8,3,> 1 año,5,4,0.6,0,20 a 24,1 a 4,0
784,1,1,1,0,4.9,Análisis,Funcionales,16.7,2,7 a 12,3,3,0.2,1,20 a 24,5 a 9,589
785,0,1,2,0,11.7,Análisis,Funcionales,18.1,0,0,5,5,0.3,1,20 a 24,1 a 4,883
786,0,1,0,0,0,Análisis,Funcionales,14.7,0,0,5,5,0.3,0,5 a 9,0,0
787,0,1,1,0,5.3,Análisis,Funcionales,12,1,4 a 6,5,4,0.4,0,10 a 14,5 a 9,0
788,1,1,2,0,9.8,Análisis,Funcionales,9.2,2,> 1 año,5,2,0.5,1,20 a 24,1 a 4,0
789,1,1,1,0,0,Análisis,Funcionales,17.3,1,1 a 3,4,4,0.2,0,20 a 24,5 a 9,0
790,0,1,1,0,1.8,Análisis,Funcionales,7.3,0,0,6,3,0.8,1,20 a 24,5 a 9,0
791,1,1,4,1,16.9,Análisis,Funcionales,3.7,0,0,5,5,1.4,0,20 a 24,10 a 14,0
792,0,1,1,0,3.9,Análisis,Funcionales,6,1,> 1 año,5,5,0.8,0,5 a 9,5 a 9,0
793,0,1,1,0,4.9,Análisis,Funcionales,6.7,0,0,3,3,0.4,0,5 a 9,0,0
794,0,1,1,0,0,Análisis,Funcionales,11.2,0,0,6,3,0.5,0,20 a 24,1 a 4,618
795,0,1,1,0,6.9,Análisis,Funcionales,3,0,0,3,1,1,0,1 a 4,1 a 4,0
796,1,1,2,1,16.8,Análisis,Funcionales,7.3,0,0,2,2,0.3,0,5 a 9,5 a 9,0
797,0,1,1,0,9.9,Análisis,Funcionales,32.5,1,7 a 12,5,2,0.2,1,5 a 9,1 a 4,0
798,0,1,1,0,4.9,Análisis,Funcionales,2.3,0,0,2,2,0.9,1,10 a 14,5 a 9,0
799,1,1,5,1,9.3,Análisis,Funcionales,4.5,0,0,4,3,0.9,0,15 a 19,5 a 9,0
800,1,1,0,0,0,Análisis,Funcionales,6.6,1,1 a 3,4,4,0.6,1,20 a 24,10 a 14,1305
801,0,1,5,0,0,Análisis,Funcionales,13.2,1,1 a 3,5,4,0.4,0,20 a 24,5 a 9,0
802,0,1,1,0,0.9,Análisis,Funcionales,27.7,2,> 1 año,10,9,0.4,1,5 a 9,0,0
803,0,1,2,0,6.8,Análisis,Funcionales,8.3,2,> 1 año,6,4,0.7,1,20 a 24,1 a 4,0
804,1,1,2,1,7.8,Análisis,Funcionales,0.8,0,0,2,2,2.5,0,0,0,0
805,1,1,3,1,9,Análisis,Funcionales,13.9,0,0,2,2,0.1,0,10 a 14,5 a 9,0
806,1,1,1,0,9.9,Análisis,Funcionales,17.4,0,0,2,2,0.1,0,20 a 24,5 a 9,855
807,0,1,0,0,0,Análisis,Funcionales,10,1,1 a 3,8,2,0.8,1,1 a 4,1 a 4,0
808,0,1,1,0,3.9,Análisis,Funcionales,10.7,3,> 1 año,8,8,0.7,1,20 a 24,10 a 14,0
809,1,1,1,0,9.9,Análisis,Funcionales,25.4,1,1 a 3,5,5,0.2,0,5 a 9,1 a 4,730
810,1,1,2,1,9.8,Análisis,Funcionales,13.3,1,7 a 12,6,3,0.5,1,20 a 24,5 a 9,0
811,0,1,1,0,0.9,Análisis,Funcionales,3,1,1 a 3,3,3,1,1,15 a 19,5 a 9,0
812,1,1,0,0,0,Análisis,Funcionales,4.2,0,0,5,2,1.2,0,5 a 9,1 a 4,0
813,0,1,1,0,6.9,Análisis,Funcionales,4.6,1,1 a 3,5,5,1.1,0,5 a 9,0,0
814,1,1,2,1,10.8,Análisis,Funcionales,11.6,0,0,6,3,0.5,1,20 a 24,10 a 14,390
815,1,1,0,0,0,Análisis,Funcionales,7,0,0,6,4,0.9,1,15 a 19,1 a 4,0
816,1,1,1,0,4.9,Análisis,Funcionales,4.6,1,> 1 año,3,3,0.7,0,15 a 19,5 a 9,0
817,1,1,0,0,0,Análisis,Funcionales,11.1,2,> 1 año,5,3,0.5,1,5 a 9,0,0
818,1,1,2,0,13.8,Análisis,Funcionales,19.7,0,0,8,7,0.4,1,0,0,0
819,0,1,1,0,7.9,Análisis,Funcionales,7.8,0,0,5,4,0.6,1,20 a 24,5 a 9,0
820,1,1,3,0,7.7,Análisis,Funcionales,11.4,1,7 a 12,5,5,0.4,0,20 a 24,5 a 9,321
821,1,1,2,0,15.8,Análisis,Funcionales,19.8,3,> 1 año,10,8,0.5,0,20 a 24,1 a 4,1883
822,1,1,0,0,0,Análisis,Funcionales,18.7,0,0,6,5,0.3,1,20 a 24,10 a 14,0
823,1,1,1,0,3.9,Análisis,Funcionales,4.9,2,> 1 año,3,3,0.6,1,20 a 24,5 a 9,0
824,0,1,1,0,9.9,Análisis,Funcionales,13.5,1,7 a 12,5,5,0.4,1,20 a 24,5 a 9,553
825,0,1,0,0,0,Análisis,Funcionales,3.3,0,0,2,2,0.6,0,0,0,0
826,0,1,2,0,9.8,Análisis,Funcionales,18.8,1,1 a 3,7,5,0.4,1,20 a 24,5 a 9,1000
827,0,1,1,1,6.9,Análisis,Funcionales,15.8,1,1 a 3,3,3,0.2,1,15 a 19,5 a 9,0
828,0,1,1,1,4,Análisis,Funcionales,7.3,3,> 1 año,6,6,0.8,1,20 a 24,1 a 4,0
829,1,1,2,0,3.7,Análisis,Funcionales,11.8,3,> 1 año,8,7,0.7,1,20 a 24,5 a 9,537
830,0,1,1,0,2.8,Análisis,Funcionales,13.6,0,0,3,3,0.2,0,20 a 24,5 a 9,0
831,1,1,0,0,0,Análisis,Funcionales,2.8,1,4 a 6,2,2,0.7,0,1 a 4,0,0
832,0,1,2,1,8.8,Análisis,Funcionales,5.6,0,0,4,2,0.7,0,5 a 9,0,0
833,0,1,1,0,1.9,Análisis,Funcionales,7.7,0,0,4,4,0.5,1,20 a 24,5 a 9,0
834,1,1,1,0,0.9,Análisis,Funcionales,8.4,3,> 1 año,7,7,0.8,0,10 a 14,1 a 4,210
835,0,1,1,0,2.9,Análisis,Funcionales,13.6,2,> 1 año,6,6,0.4,0,5 a 9,1 a 4,0
836,0,1,1,1,6.9,Análisis,Funcionales,2.1,1,> 1 año,3,3,1.4,0,5 a 9,1 a 4,0
837,0,1,0,0,0,Análisis,Funcionales,7.1,0,0,4,3,0.6,0,10 a 14,5 a 9,0
838,1,1,0,0,0,Análisis,Funcionales,5.3,0,0,3,3,0.6,0,20 a 24,5 a 9,0
839,0,1,1,1,0,Análisis,Funcionales,9.5,1,> 1 año,4,3,0.4,0,15 a 19,10 a 14,0
840,0,1,1,0,5.9,Análisis,Funcionales,15.4,0,0,5,4,0.3,0,1 a 4,0,0
841,0,1,1,0,4.9,Análisis,Funcionales,9.4,0,0,7,5,0.7,1,20 a 24,5 a 9,0
842,0,1,1,0,6,Análisis,Funcionales,11.7,2,> 1 año,8,7,0.7,0,10 a 14,1 a 4,493
843,0,1,2,0,0,Análisis,Funcionales,21.4,1,4 a 6,3,3,0.1,1,15 a 19,5 a 9,0
844,1,1,0,0,0,Análisis,Funcionales,14.3,0,0,4,3,0.3,0,5 a 9,1 a 4,0
845,0,1,6,0,10.7,Análisis,Funcionales,8.3,1,> 1 año,4,3,0.5,1,20 a 24,10 a 14,924
846,1,1,2,0,13.8,Análisis,Funcionales,29.5,2,7 a 12,10,10,0.3,1,20 a 24,1 a 4,1082
847,0,1,1,0,7.6,Análisis,Funcionales,4.9,1,1 a 3,3,2,0.6,0,15 a 19,1 a 4,0
848,1,1,2,0,8.9,Análisis,Funcionales,21.6,1,> 1 año,3,3,0.1,1,20 a 24,5 a 9,0
849,0,1,1,0,7.9,Análisis,Funcionales,14.1,0,0,4,2,0.3,0,5 a 9,0,553
850,0,1,6,1,17.1,Análisis,Funcionales,6.7,0,0,2,2,0.3,0,20 a 24,1 a 4,317
851,0,1,2,0,8.4,Análisis,Funcionales,4.5,0,0,3,3,0.7,0,1 a 4,0,0
852,1,1,3,0,5,Análisis,Funcionales,5.6,1,> 1 año,4,4,0.7,1,15 a 19,5 a 9,1275
853,1,1,0,0,0,Análisis,Funcionales,3.7,0,0,2,2,0.5,0,10 a 14,5 a 9,0
854,1,1,1,1,7.9,Análisis,Funcionales,18.5,0,0,3,3,0.2,0,20 a 24,5 a 9,0
855,1,1,0,0,0,Análisis,Funcionales,31.2,3,> 1 año,10,6,0.3,0,1 a 4,0,0
856,0,1,5,1,7.9,Análisis,Funcionales,10.7,1,> 1 año,4,4,0.4,0,1 a 4,1 a 4,461
857,1,1,0,0,0,Análisis,Funcionales,14.7,1,7 a 12,4,4,0.3,0,15 a 19,10 a 14,0
858,0,1,5,0,0,Análisis,Funcionales,0,0,0,1,1,,0,5 a 9,0,0
859,1,1,0,0,0,Análisis,Funcionales,17.7,0,0,4,4,0.2,0,0,0,0
860,1,1,2,1,12.8,Análisis,Funcionales,8.7,0,0,2,2,0.2,0,10 a 14,1 a 4,327
861,0,1,1,1,0,Análisis,Funcionales,18.7,0,0,3,3,0.2,0,5 a 9,0,0
862,1,1,3,1,5.8,Análisis,Funcionales,9.7,0,0,4,4,0.4,0,15 a 19,5 a 9,0
863,1,1,0,0,0,Análisis,Funcionales,10.7,0,0,2,2,0.2,0,0,0,0
864,0,1,0,0,0,Análisis,Funcionales,12.7,0,0,4,1,0.3,0,1 a 4,0,0
865,1,1,3,1,11.7,Análisis,Funcionales,5.9,0,0,5,5,0.8,1,20 a 24,10 a 14,0
866,0,1,3,0,11.8,Análisis,Funcionales,12.7,0,0,8,7,0.6,0,0,0,0
867,0,1,3,1,7.9,Análisis,Funcionales,24.7,0,0,5,5,0.2,0,20 a 24,0,811
868,0,1,0,0,0,Análisis,Funcionales,9.5,1,1 a 3,9,4,0.9,1,10 a 14,1 a 4,0
869,0,1,0,0,0,Análisis,Funcionales,0,0,0,1,1,,0,0,0,0
870,0,1,3,0,10.2,Análisis,Funcionales,10.8,2,> 1 año,5,4,0.5,1,20 a 24,15 a 19,0
871,1,1,1,0,0,Análisis,Funcionales,5.5,0,0,6,5,1.1,1,10 a 14,5 a 9,0
872,1,1,2,0,6.8,Análisis,Funcionales,8.8,1,> 1 año,4,4,0.5,1,20 a 24,1 a 4,1011
873,0,1,1,0,4.9,Análisis,Funcionales,9.9,1,> 1 año,3,3,0.3,1,20 a 24,5 a 9,0
874,1,1,8,1,15.3,Análisis,Funcionales,24.8,1,7 a 12,6,6,0.2,1,20 a 24,1 a 4,594
875,1,1,0,0,0,Análisis,Funcionales,4.8,2,4 a 6,4,3,0.8,0,20 a 24,1 a 4,0
876,1,1,1,0,3.9,Análisis,Funcionales,6.6,0,0,2,2,0.3,0,15 a 19,5 a 9,708
877,0,1,1,1,4.9,Análisis,Funcionales,1.6,2,> 1 año,2,2,1.2,1,10 a 14,5 a 9,0
878,0,1,4,0,6.8,Análisis,Funcionales,14.3,0,0,6,5,0.4,0,25 o más,5 a 9,941
879,1,1,1,0,5.9,Análisis,Funcionales,3.4,0,0,3,1,0.9,0,5 a 9,1 a 4,0
880,1,1,2,0,4.9,Análisis,Funcionales,7.5,2,> 1 año,4,4,0.5,0,15 a 19,1 a 4,0
881,0,1,0,0,0,Análisis,Funcionales,16.4,0,0,2,2,0.1,0,5 a 9,5 a 9,0
882,1,1,1,0,0.5,Análisis,Funcionales,3.8,0,0,4,2,1.1,0,20 a 24,5 a 9,0
883,0,1,1,0,6.9,Análisis,Funcionales,7.3,0,0,6,5,0.8,1,15 a 19,1 a 4,0
884,1,1,1,1,5.9,Análisis,Funcionales,14.7,2,7 a 12,4,3,0.3,0,20 a 24,10 a 14,297
885,1,1,2,1,11.8,Análisis,Funcionales,13,0,0,1,1,0.1,0,0,0,0
886,1,1,3,1,9.8,Análisis,Funcionales,16.9,0,0,12,10,0.7,1,15 a 19,5 a 9,0
887,1,1,1,1,3.9,Análisis,Funcionales,3.8,0,0,2,2,0.5,1,20 a 24,5 a 9,833
888,1,1,1,0,3.9,Análisis,Funcionales,22.7,2,> 1 año,4,4,0.2,0,10 a 14,5 a 9,822
889,0,1,6,1,5.5,Análisis,Funcionales,18.3,1,> 1 año,4,4,0.2,0,15 a 19,5 a 9,0
890,1,1,2,1,12.8,Análisis,Funcionales,12.3,1,1 a 3,5,4,0.4,0,20 a 24,10 a 14,0
891,1,1,1,1,6.9,Análisis,Funcionales,11,3,> 1 año,5,5,0.5,1,5 a 9,1 a 4,671
892,1,1,2,1,0.9,Análisis,Funcionales,3.7,1,7 a 12,2,2,0.5,0,15 a 19,10 a 14,418
893,1,1,1,0,6.9,Análisis,Funcionales,2.7,0,0,2,2,0.7,0,10 a 14,1 a 4,0
894,1,1,1,1,13.9,Análisis,Funcionales,9.7,1,7 a 12,5,4,0.5,1,20 a 24,10 a 14,722
895,1,1,4,0,12.9,Análisis,Funcionales,11.3,3,> 1 año,5,4,0.4,0,20 a 24,5 a 9,0
896,0,1,2,1,11.8,Análisis,Funcionales,17.5,4,> 1 año,5,5,0.3,1,20 a 24,10 a 14,0
897,1,1,5,0,0,Análisis,Funcionales,6.9,0,0,2,2,0.3,0,5 a 9,1 a 4,0
898,1,1,2,1,7.8,Análisis,Funcionales,17.1,0,0,8,8,0.5,0,20 a 24,10 a 14,0
899,0,1,3,0,11.8,Análisis,Funcionales,7.3,0,0,4,2,0.5,0,10 a 14,1 a 4,0
900,1,1,2,0,2.4,Análisis,Funcionales,4.7,0,0,3,2,0.6,0,10 a 14,5 a 9,0
901,0,1,0,0,0,Análisis,Funcionales,14.1,1,1 a 3,5,4,0.4,0,20 a 24,5 a 9,843
902,1,1,4,0,11.8,Análisis,Funcionales,22.7,2,> 1 año,7,7,0.3,1,20 a 24,5 a 9,592
903,0,1,0,0,0,Análisis,Funcionales,40.7,2,> 1 año,8,8,0.2,0,5 a 9,1 a 4,513
904,1,1,1,0,1.9,Análisis,Funcionales,6.7,0,0,2,2,0.3,0,1 a 4,0,0
905,0,1,3,1,16.7,Análisis,Funcionales,26.5,0,0,13,13,0.5,0,5 a 9,5 a 9,0
906,1,1,1,1,8.9,Análisis,Funcionales,8,0,0,5,5,0.6,0,1 a 4,1 a 4,0
907,0,1,0,0,0,Análisis,Funcionales,13.8,1,7 a 12,6,6,0.4,0,20 a 24,1 a 4,0
908,1,1,0,0,0,Análisis,Funcionales,14.7,0,0,6,5,0.4,0,5 a 9,1 a 4,0
909,1,1,1,1,7.8,Análisis,Funcionales,3.2,0,0,3,2,0.9,0,20 a 24,1 a 4,453
910,1,1,3,0,0,Análisis,Funcionales,12.7,0,0,2,2,0.2,0,15 a 19,5 a 9,0
911,0,1,2,1,7,Análisis,Funcionales,16.7,2,> 1 año,8,8,0.5,0,5 a 9,0,660
912,0,1,0,0,0,Análisis,Funcionales,14.7,1,> 1 año,3,3,0.2,1,15 a 19,1 a 4,0
913,1,1,0,0,0,Análisis,Funcionales,13.7,0,0,4,4,0.3,0,20 a 24,10 a 14,0
914,0,1,5,1,29.7,Análisis,Funcionales,6.1,0,0,5,3,0.8,0,15 a 19,1 a 4,862
915,1,1,1,1,4.8,Análisis,Funcionales,22.8,3,> 1 año,5,5,0.2,0,20 a 24,5 a 9,0
916,1,1,3,1,13.8,Análisis,Funcionales,18.4,1,1 a 3,4,3,0.2,0,0,0,0
917,1,1,1,1,0,Análisis,Funcionales,2.7,0,0,2,2,0.7,0,25 o más,0,0
918,1,1,0,0,0,Análisis,Funcionales,14.7,0,0,7,5,0.5,0,0,0,0
919,0,1,3,1,9.7,Análisis,Funcionales,8.8,0,0,8,7,0.9,1,20 a 24,5 a 9,360
920,0,1,2,0,0,Análisis,Funcionales,12.5,1,> 1 año,5,2,0.4,0,10 a 14,5 a 9,0
921,0,1,4,1,14,Análisis,Funcionales,10.7,2,7 a 12,7,7,0.7,1,20 a 24,5 a 9,598
922,1,1,2,0,0,Análisis,Funcionales,13.7,0,0,7,7,0.5,1,20 a 24,5 a 9,310
923,1,1,0,0,0,Análisis,Funcionales,17.7,1,7 a 12,6,6,0.3,0,0,0,0
924,0,1,4,0,14.5,Análisis,Funcionales,16.9,1,1 a 3,5,3,0.3,1,20 a 24,1 a 4,0
925,0,1,1,0,9.9,Análisis,Funcionales,9.7,0,0,6,4,0.6,1,10 a 14,1 a 4,0
926,0,1,3,1,7.8,Análisis,Funcionales,11.7,1,> 1 año,5,4,0.4,0,5 a 9,0,0
927,0,1,4,1,20.7,Análisis,Funcionales,38.3,3,> 1 año,6,6,0.2,1,10 a 14,5 a 9,511
928,1,1,1,0,0,Análisis,Funcionales,21,3,> 1 año,7,5,0.3,1,20 a 24,5 a 9,446
929,0,1,15,1,24.7,Análisis,Funcionales,27.7,2,> 1 año,10,6,0.4,1,20 a 24,5 a 9,0
930,1,1,1,0,0,Análisis,Funcionales,11.7,2,> 1 año,5,4,0.4,0,0,0,0
931,0,1,1,1,3.9,Análisis,Funcionales,13.8,0,0,3,3,0.2,0,10 a 14,1 a 4,0
932,1,1,1,0,0,Análisis,Funcionales,16.3,2,> 1 año,5,5,0.3,0,5 a 9,5 a 9,0
933,1,1,2,1,6.9,Análisis,Funcionales,16.7,0,0,3,3,0.2,0,1 a 4,0,0
934,1,1,1,0,5.9,Análisis,Funcionales,26.8,1,7 a 12,5,5,0.2,0,20 a 24,5 a 9,792
935,0,1,1,1,9.9,Análisis,Funcionales,29.6,2,> 1 año,5,5,0.2,1,10 a 14,5 a 9,0
936,0,1,2,0,7.8,Análisis,Funcionales,19.7,0,0,6,5,0.3,0,15 a 19,5 a 9,0
937,0,1,1,1,5.9,Análisis,Funcionales,42.7,0,0,8,7,0.2,1,20 a 24,5 a 9,444
938,1,1,1,0,1.6,Análisis,Funcionales,10.5,0,0,3,3,0.3,1,20 a 24,1 a 4,0
939,1,1,3,1,12.8,Análisis,Funcionales,27.7,0,0,6,6,0.2,0,0,0,0
940,1,1,5,0,6,Análisis,Funcionales,3.7,0,0,4,4,1.1,0,20 a 24,5 a 9,622
941,1,1,3,0,0,Análisis,Funcionales,17.7,0,0,3,3,0.2,0,20 a 24,5 a 9,674
942,0,1,1,0,2.9,Análisis,Funcionales,17.1,1,1 a 3,5,5,0.3,0,10 a 14,5 a 9,450
943,1,1,2,1,11.8,Análisis,Funcionales,6.8,1,> 1 año,2,2,0.3,1,20 a 24,10 a 14,0
944,1,1,1,0,0.5,Análisis,Funcionales,1.8,0,0,1,1,0.6,0,20 a 24,15 a 19,877
945,1,1,1,0,8.7,Análisis,Funcionales,2.3,0,0,1,1,0.4,0,0,0,0
946,0,1,0,0,0,Análisis,Funcionales,2.7,0,0,1,1,0.4,1,5 a 9,5 a 9,301
947,1,1,1,1,0,Análisis,Funcionales,12.7,0,0,2,2,0.2,0,15 a 19,10 a 14,632
948,0,1,3,1,6.2,Análisis,Funcionales,11.5,1,> 1 año,2,1,0.2,1,20 a 24,1 a 4,1277
949,1,1,2,0,20.8,Análisis,Funcionales,20.6,0,0,9,7,0.4,1,20 a 24,5 a 9,670
950,1,1,2,1,7.4,Análisis,Funcionales,17.8,0,0,4,2,0.2,1,10 a 14,5 a 9,0
951,1,1,1,0,0,Análisis,Funcionales,6.5,0,0,3,3,0.5,0,15 a 19,5 a 9,0
952,0,1,0,0,0,Análisis,Funcionales,36.5,0,0,3,2,0.1,0,20 a 24,1 a 4,0
953,0,1,1,0,0,Análisis,Funcionales,14.7,0,0,5,5,0.3,0,0,0,0
954,0,1,1,1,0,Análisis,Funcionales,13.8,1,> 1 año,3,3,0.2,0,1 a 4,0,0
955,1,1,3,1,17.7,Análisis,Funcionales,13.7,0,0,3,3,0.2,0,25 o más,0,0
956,1,1,4,0,0,Análisis,Funcionales,29.7,0,0,6,6,0.2,0,0,0,0
957,0,1,3,1,10.8,Análisis,Funcionales,9.7,1,> 1 año,4,4,0.4,0,20 a 24,10 a 14,0
958,0,1,2,0,8.8,Análisis,Funcionales,11.3,1,1 a 3,5,5,0.4,0,20 a 24,1 a 4,232
959,1,1,1,0,0.4,Análisis,Funcionales,17.3,0,0,5,4,0.3,0,20 a 24,5 a 9,1012
960,0,1,2,0,8.8,Análisis,Funcionales,21.9,3,> 1 año,7,7,0.3,1,20 a 24,1 a 4,0
961,0,1,1,1,0,Análisis,Funcionales,15.7,1,7 a 12,2,2,0.1,0,0,0,0
962,1,1,2,1,4.8,Análisis,Funcionales,9,1,> 1 año,12,2,1.3,1,20 a 24,10 a 14,0
963,1,1,2,0,18.8,Análisis,Funcionales,16.7,4,4 a 6,12,11,0.7,1,20 a 24,1 a 4,706
964,0,1,2,0,16.8,Análisis,Funcionales,25.7,2,> 1 año,5,5,0.2,0,0,0,0
965,1,1,2,0,4.5,Análisis,Funcionales,5,1,> 1 año,2,2,0.4,0,10 a 14,1 a 4,0
966,0,1,3,0,0,Análisis,Funcionales,15.7,0,0,2,2,0.1,1,5 a 9,1 a 4,0
967,0,1,0,0,0,Análisis,Funcionales,3.1,0,0,1,1,0.3,0,0,0,0
968,1,1,1,1,5.9,Análisis,Funcionales,15.9,0,0,13,12,0.8,1,20 a 24,10 a 14,321
969,1,1,2,1,9.9,Análisis,Funcionales,4.7,0,0,2,2,0.4,0,20 a 24,1 a 4,0
970,1,1,1,1,7.9,Análisis,Funcionales,15.4,0,0,3,2,0.2,1,10 a 14,5 a 9,708
971,0,1,2,1,0,Análisis,Funcionales,6.1,0,0,2,1,0.3,0,5 a 9,1 a 4,0
972,1,1,1,0,7.5,Análisis,Funcionales,1.7,0,0,2,2,1.2,0,5 a 9,1 a 4,0
973,1,1,6,0,11.7,Análisis,Funcionales,23.7,1,> 1 año,12,11,0.5,0,0,0,0
974,0,1,3,1,11.8,Análisis,Funcionales,8.7,0,0,4,4,0.5,0,20 a 24,1 a 4,0
975,1,1,0,0,0,Análisis,Funcionales,24.7,0,0,1,1,0,0,5 a 9,0,0
976,1,1,1,1,4.9,Análisis,Funcionales,0,0,0,1,1,,0,5 a 9,0,0
977,1,1,2,1,6.8,Análisis,Funcionales,44.7,3,> 1 año,15,15,0.3,0,0,0,0
978,0,1,1,1,3,Análisis,Funcionales,8.7,1,> 1 año,3,3,0.3,0,5 a 9,1 a 4,349
979,1,1,2,0,10.8,Análisis,Funcionales,16.7,1,> 1 año,7,6,0.4,0,0,0,0
980,1,1,2,0,12.8,Análisis,Funcionales,12.8,0,0,5,4,0.4,0,15 a 19,5 a 9,0
981,0,1,5,0,7.6,Análisis,Funcionales,14.7,0,0,7,5,0.5,1,25 o más,1 a 4,1541
982,0,1,2,0,6,Análisis,Funcionales,22.7,1,> 1 año,6,4,0.3,0,10 a 14,1 a 4,0
983,0,1,2,0,13.8,Análisis,Funcionales,18.7,1,> 1 año,6,5,0.3,0,5 a 9,1 a 4,1076
984,0,1,2,0,8.8,Análisis,Funcionales,31.7,1,> 1 año,7,5,0.2,1,20 a 24,1 a 4,624
985,0,1,7,0,6.9,Análisis,Funcionales,2.7,0,0,1,1,0.4,1,15 a 19,10 a 14,191
986,1,1,4,0,10.9,Análisis,Funcionales,8,3,> 1 año,6,5,0.8,1,20 a 24,1 a 4,349
987,0,1,2,1,11.8,Análisis,Funcionales,24.7,1,> 1 año,14,12,0.6,0,0,0,0
988,1,1,1,1,9.9,Análisis,Funcionales,16.8,1,7 a 12,10,7,0.6,0,20 a 24,1 a 4,0
989,1,1,3,1,2,Análisis,Funcionales,13.7,0,0,4,4,0.3,0,20 a 24,5 a 9,0
990,1,1,1,0,0,Análisis,Funcionales,16.8,0,0,4,4,0.2,0,5 a 9,1 a 4,0
991,1,1,10,0,2.9,Análisis,Funcionales,7.7,0,0,3,1,0.4,0,20 a 24,1 a 4,0
992,0,1,0,0,0,Análisis,Funcionales,10.7,1,> 1 año,3,3,0.3,0,0,0,0
993,0,1,1,0,4.9,Análisis,Funcionales,18.5,2,> 1 año,5,3,0.3,1,20 a 24,1 a 4,0
994,1,1,0,0,0,Análisis,Funcionales,24.7,1,> 1 año,7,6,0.3,0,1 a 4,1 a 4,0
995,1,1,1,0,5.7,Análisis,Funcionales,8.6,0,0,8,5,0.9,0,20 a 24,1 a 4,0
996,1,1,3,1,11.8,Análisis,Funcionales,16.7,0,0,3,2,0.2,0,20 a 24,10 a 14,0
997,1,1,2,0,3,Análisis,Funcionales,12.7,2,> 1 año,7,7,0.6,0,15 a 19,5 a 9,225
998,0,1,4,0,6.4,Análisis,Funcionales,9.1,2,> 1 año,5,5,0.5,0,15 a 19,1 a 4,433
999,0,1,2,1,8.8,Análisis,Funcionales,28.7,4,> 1 año,11,11,0.4,0,20 a 24,1 a 4,0
1000,1,1,1,0,12.9,Análisis,Funcionales,19.7,1,> 1 año,5,4,0.3,0,10 a 14,1 a 4,0
1001,1,1,1,0,4.5,Análisis,Funcionales,12.7,0,0,5,3,0.4,0,10 a 14,5 a 9,0
1002,1,1,4,1,6.8,Análisis,Funcionales,8.7,3,> 1 año,7,7,0.8,0,0,0,0
1003,1,1,0,0,0,Análisis,Funcionales,13.7,0,0,1,1,0.1,0,1 a 4,1 a 4,0
1004,1,1,1,0,5.9,Análisis,Funcionales,1.5,0,0,1,1,0.7,1,5 a 9,1 a 4,0
1005,1,1,3,0,10.8,Análisis,Funcionales,10.7,2,> 1 año,6,6,0.6,0,10 a 14,5 a 9,2593
1006,1,1,1,1,5.9,Análisis,Funcionales,9.7,0,0,9,9,0.9,0,0,0,0
1007,1,1,7,1,14.8,Análisis,Funcionales,16.7,2,> 1 año,8,8,0.5,1,20 a 24,5 a 9,0
1008,1,1,1,0,12.9,Análisis,Funcionales,15.5,0,0,6,3,0.4,1,20 a 24,15 a 19,0
1009,1,1,0,0,0,Análisis,Funcionales,7.7,0,0,2,2,0.3,0,0,0,0
1010,1,1,4,0,0,Análisis,Funcionales,18.7,0,0,7,7,0.4,1,25 o más,5 a 9,508
1011,1,1,2,1,11.8,Análisis,Funcionales,10.7,0,0,3,3,0.3,0,20 a 24,1 a 4,0
1012,1,1,0,0,0,Análisis,Funcionales,13,0,0,2,2,0.2,0,0,0,0
1013,1,1,1,1,2.9,Análisis,Funcionales,13.7,0,0,3,2,0.2,0,0,0,0
1014,0,1,3,1,9.8,Análisis,Funcionales,21,4,> 1 año,10,9,0.5,1,20 a 24,5 a 9,0
1015,0,1,1,1,11.9,Análisis,Funcionales,18.4,1,1 a 3,4,3,0.2,0,15 a 19,10 a 14,0
1016,1,1,0,0,0,Análisis,Funcionales,0,0,0,0,0,0,0,0,0,367
1017,0,1,2,0,12.8,Análisis,Funcionales,11.5,0,0,7,4,0.6,1,1 a 4,1 a 4,0
1018,1,1,1,0,6.9,Análisis,Funcionales,10.7,0,0,2,1,0.2,1,1 a 4,1 a 4,0
1019,1,1,1,1,6.9,Análisis,Funcionales,17.7,1,> 1 año,8,6,0.5,0,20 a 24,5 a 9,521
1020,1,1,0,0,0,Análisis,Funcionales,15.3,0,0,7,7,0.5,0,10 a 14,1 a 4,0
1021,1,1,5,1,15.6,Análisis,Funcionales,14.1,1,7 a 12,8,7,0.6,0,20 a 24,10 a 14,367
1022,0,1,1,0,5.9,Análisis,Funcionales,5.7,0,0,5,2,0.9,0,15 a 19,5 a 9,0
1023,0,1,4,1,19.7,Análisis,Funcionales,21.7,0,0,4,4,0.2,0,25 o más,15 a 19,0
1024,0,1,6,0,6.6,Análisis,Funcionales,8,2,> 1 año,3,3,0.4,1,10 a 14,5 a 9,712
1025,1,1,1,1,4,Análisis,Funcionales,32.7,1,7 a 12,11,10,0.3,0,0,0,0
